id,viewcounts,subscribercounts,videocounts
UC95rWgZlwZmV3KyKSB73gfg,11062,247,67
UCLbMiTQhmeYp6Exac4SdAwg,30473369,154000,140
UCHV_M2sSn2ebebkJIeb_bwg,17077175,53900,619
UCFJnQRsMmJp9apU6tC6-1Mw,90573,1110,102
UC_HDAN2kbbm7WlD9f7UVE-g,0,2700,0
UCx0FZIX_vVoVW-H8f_8_RgA,1503385,141000,230
UCAuOiDZPM8f79kIlL6Quqfg,8839552,30400,134
UCWUvO_ueSXA5hdex1sf0IHw,839,99,4
UCvdZFGksMaGjl5qIGO9hYbg,194202,555,273
UCkENJm_pRb15Bu_xFhJjxmQ,32,1,1
UCXEsbUE-Fg5Da-8o1pmqZkA,432,37,17
UCngKmtTzmTWK773qz1be58Q,87,14,9
UCyJdmBnfaPA6MrDiNnS4Frw,11509,1950,57
UCn6r9_T6ImAUlbdNljlO8TQ,5309,444,43
UCSmY0Lyo7h3gq0Kd1jtIBDQ,8304185,85100,1484
UCnoMpv9XWP-HyAbtci9MsuQ,26635,20500,36
UCeE9L-ikPZHfX60DGm6e1cQ,2016,173,15
UCdyhcIaSnkcliiWo5KEMOVQ,1644,121,16
UCqNthv8tjepmBPPJarC-HuA,11299,1080,61
UCkli7Mvt2ToKKYJJPrQR_Ew,224,3,6
UCODTqG6-Piqf8_Z78zjZ3pg,23715,156,59
UCI18SNZ3Idv6yCoYMJXP82Q,0,217,0
UC207gXIo9F0cv1CeniTooAw,452,10,23
UCYp9ek9a6zhM91rPilcPF5g,65808,436,9
UCP0rE_hk9P1sOVYpxvjfyfw,10948,25,14
UCsC-CEswGkA6i4g6xzeEQhw,224,0,11
UCBKgojK4U8ky_CJe-HmfDvQ,2249,76,6
UC9JczauUNXDkXdkECsVldpQ,1963,14,4
UCH6V4IC4HN6doxWWwzXYY-Q,130,9,1
UCkOe8fr2xvIpcCyleM4XdNQ,96,0,1
UCR7LnFDJ8Dz_Boj5ANPbyzA,1207700,4270,366
UCLHBOimSbb7yRADLGqbj99w,3768,40,21
UC9Vpdy6lcEJG83LgydO_7FA,475,5,10
UCp09w5-ocuDU9Fcj03aD9Vw,559,5,1
UCwoePzsp1dJ_bvFy_msh1cA,32,0,3
UCdQ1JkVj029hy4m4GChK8xA,97,2,5
UCGskAWLS1Woc37sWEPixKhA,1613,25,12
UCKZGTi_C8iN8pBnpauAOGoA,13532,144,21
UC4_rJVJvDmViQdmhyjQifig,602,26,7
UCTAc1OtbQSzEjQ98twvG-bg,422,9,3
